,Temperature,Lattice Energy,Heat Capacity,Error on heat capacity
0,1.0,-4698.372,1.8083158463984728,0.17996204869131985
1,1.1,-4717.78,0.10298697520755537,0.005704974905757271
2,1.2000000000000002,-4691.516,0.10893492888969677,0.007387621618633057
3,1.3000000000000003,-4656.556,0.17053416899499096,0.012257027500436574
4,1.4000000000000004,-4618.056,0.17571854367396042,0.017125888390734128
5,1.5000000000000004,-4559.156,0.24112491804493782,0.02415197973456231
6,1.6000000000000005,-4503.032,0.29936358999984786,0.026754975410102258
7,1.7000000000000006,-4407.332,0.3537032215910797,0.04284562913514903
8,1.8000000000000007,-4295.824,0.4691477807413461,0.061684697984743
9,1.9000000000000008,-4156.768,0.6572483297509659,0.1016572437857324
10,2.000000000000001,-4003.16,0.8080190400002517,0.11942318877686518
11,2.100000000000001,-3789.888,0.9143426263945639,0.1910723354121272
12,2.200000000000001,-3539.72,1.1243836033059473,0.22015855464858233
13,2.300000000000001,-3232.712,1.19343221595472,0.2918359187930922
14,2.4000000000000012,-2974.492,0.9019409677776913,0.18542704918798134
15,2.5000000000000013,-2748.112,0.7859335331839314,0.22815692643698152
16,2.6000000000000014,-2551.228,0.6241777524260037,0.1603619276065934
17,2.7000000000000015,-2394.548,0.5835388584911244,0.1842025604233201
18,2.8000000000000016,-2257.868,0.5020693151020363,0.14559990336229678
19,2.9000000000000017,-2132.48,0.4557710154577819,0.16221481258641088
